account_id,creative_id,ad_id,creative_name,url_link
912926672398208,23843842784020065,23843842776780065,4 reasons to embrace multi-cloud with network virtualiza 2019-09-21-8426c6a069d98ff0bbbb79ab97dc97a7,https://fb.me/
912926672398208,23843846628680065,23843842757010065,Protect your applications with Intrinsic Security 2019-09-23-f8c0506c3504e4aac8e14a44abe8cca1,https://fb.me/
912926672398208,23843850935250065,23843852654020065,Hyperconvergence supports your fiercest workloads 2019-09-24-178f3c8bea2ba5b973eb6e49bf5ff497,https://fb.me/
912926672398208,23843850935250065,23843840366030065,Hyperconvergence supports your fiercest workloads 2019-09-24-178f3c8bea2ba5b973eb6e49bf5ff497,https://fb.me/
912926672398208,23843811085020065,23843796989480065,"Your HCI Assessment is waiting, get your custom report t 2019-09-10-e786f46897e3c5f94c88432735dea840",https://www.vmware.com/products/hyper-converged-infrastructure/assessment.html?src=sp_5d6ec951f38dc&cid=7012H0000021OYQ
912926672398208,23843802061210065,23843796965740065,Which workloads will you consolidate first? 2019-09-06-e157ed2294e483e8ebc52b0557a06d71,https://www.vmware.com/learn/322756_KIT_REG.html?src=sp_5d6ec951ee605&cid=7012H0000021OYL
912926672398208,23843802106780065,23843797031010065,4 reasons to embrace multi-cloud 2019-09-06-137de951829ddbd5ce4edeb64f60d473,https://www.vmware.com/learn/321361_GUIDE_REG.html?src=sp_5d6ec95207bab&cid=7012H0000021OYk
912926672398208,23843802142510065,23843796995380065,Protect your applications with Intrinsic Security 2019-09-06-fca481be7a88a0cee51ec61b6c03ab95,https://www.vmware.com/learn/51016_EBOOK_REG.html?src=sp_5d6ec952035b6&cid=7012H0000021OYV
912926672398208,23843802101840065,23843797020380065,Try VMware Hands-on Labs for Securing Application Infras 2019-09-06-dc8be17352e456c4e108fec1017278a2,https://www.vmware.com/try-vmware/try-sai-hands-on-labs.html?src=sp_5d6ec9520515c&cid=7012H0000021OYa
912926672398208,23843802113680065,23843797036420065,Test-drive VMware Cloud Networking Solutions with a Hand 2019-09-06-bd2e0eedeb9809dcbe7948a8b6f31f3b,https://www.vmware.com/try-vmware/try-cn-hands-on-labs.html?src=sp_5d6ec9520a418&cid=7012H0000021OYf
