account_id,creative_id,ad_id,creative_name,url_link
486847852051737,23843623752920257,23843651304960257,VMware 2019-07-05-e8a0a85d96b5fa21131afe54dbad0f45,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843650454650257,23843651304980257,VMware 2019-07-17-627484c493f90ced3ef634643786a395,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623745310257,23843651304970257,VMware 2019-07-05-a6ec6eaa661023c6fdf69bea5748ffa8,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843650454630257,23843651304950257,VMware 2019-07-17-4ad82a535a980bcb4f7c998a0bcf427b,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843651299170257,23843651267560257,VMware 2019-07-17-61cc1dd6ab7e0b2d65e57a3de0c82545,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843651287850257,23843651267550257,VMware 2019-07-17-0e177d005f1ba22017190905c7d447b5,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843651282550257,23843651267580257,VMware 2019-07-17-8e0f400e3a07215ab3bafa6146a24390,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843623736520257,23843651267570257,VMware 2019-07-05-9c577e611c44435f8aca9889ec5ed125,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843650451290257,23843650450670257,VMware 2019-07-17-72d0f74f895b2b8107319cb3b48af06a,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843650454630257,23843650452350257,VMware 2019-07-17-4ad82a535a980bcb4f7c998a0bcf427b,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843650454650257,23843650452340257,VMware 2019-07-17-627484c493f90ced3ef634643786a395,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843650451740257,23843650445940257,VMware 2019-07-17-f3696a3b704261412e35624e14729aa6,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843623752920257,23843637190620257,VMware 2019-07-05-e8a0a85d96b5fa21131afe54dbad0f45,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623745310257,23843637190600257,VMware 2019-07-05-a6ec6eaa661023c6fdf69bea5748ffa8,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623736520257,23843637190590257,VMware 2019-07-05-9c577e611c44435f8aca9889ec5ed125,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843623729910257,23843637190630257,VMware 2019-07-05-ff080b41c42bdfc7876c53c803a9a7de,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843623752920257,23843623740980257,VMware 2019-07-05-e8a0a85d96b5fa21131afe54dbad0f45,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623745310257,23843623741000257,VMware 2019-07-05-a6ec6eaa661023c6fdf69bea5748ffa8,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faf3907a0b&cid=7012H000001OL1A
486847852051737,23843623736520257,23843623731830257,VMware 2019-07-05-9c577e611c44435f8aca9889ec5ed125,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
486847852051737,23843623729910257,23843623723360257,VMware 2019-07-05-ff080b41c42bdfc7876c53c803a9a7de,https://www.vmware.com/learn/262321_REG.html?src=sp_5d1faef71ec46&cid=7012H000001OL15
